"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка логина с негативными данными","535","Проверка логина с негативными данными","Surefire suite","Sat Oct 04 12:47:45 UTC 2025","passed","Sat Oct 04 12:47:46 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","paramNegativeTest"
"Проверка логина с негативными данными","516","Проверка логина с негативными данными","Surefire suite","Sat Oct 04 12:47:44 UTC 2025","passed","Sat Oct 04 12:47:45 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","paramNegativeTest"
"","2","Настройка браузера","Surefire suite","Sat Oct 04 12:47:39 UTC 2025","broken","Sat Oct 04 12:47:39 UTC 2025","tests.LocatorsTest","Surefire test","tests.LocatorsTest","setup"
"Проверка входа в магазин с пустым логином","549","Проверка входа в магазин с пустым логином","Surefire suite","Sat Oct 04 12:47:49 UTC 2025","passed","Sat Oct 04 12:47:49 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithEmptyLogin"
"Проверка входа в магазин с позитивными данными","1126","Проверка входа в магазин с позитивными данными","Surefire suite","Sat Oct 04 12:47:47 UTC 2025","passed","Sat Oct 04 12:47:48 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkPositiveLogin"
"","1","checkLocators","Surefire suite","Sat Oct 04 12:47:39 UTC 2025","skipped","Sat Oct 04 12:47:39 UTC 2025","tests.LocatorsTest","Surefire test","tests.LocatorsTest","checkLocators"
"Проверка логина с негативными данными","556","Проверка логина с негативными данными","Surefire suite","Sat Oct 04 12:47:46 UTC 2025","passed","Sat Oct 04 12:47:47 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","paramNegativeTest"
"","2804","checkLoginWithEmptyPassword","Surefire suite","Sat Oct 04 12:47:41 UTC 2025","passed","Sat Oct 04 12:47:44 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithEmptyPassword"
