"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка входа в магазин с позитивными данными","0","Проверка входа в магазин с позитивными данными","Surefire suite","Tue Sep 16 06:49:21 UTC 2025","skipped","Tue Sep 16 06:49:21 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkPositiveLogin"
"","1","checkLoginWithEmptyPassword","Surefire suite","Tue Sep 16 06:49:08 UTC 2025","unknown","Tue Sep 16 06:49:08 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithEmptyPassword"
"Проверка входа в магазин с пустым логином","0","Проверка входа в магазин с пустым логином","Surefire suite","Tue Sep 16 06:49:21 UTC 2025","skipped","Tue Sep 16 06:49:21 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithEmptyLogin"
"Проверка логина с негативными данными","0","Проверка логина с негативными данными","Surefire suite","Tue Sep 16 06:49:20 UTC 2025","skipped","Tue Sep 16 06:49:20 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","paramNegativeTest"
"","1","checkLocators","Surefire suite","Tue Sep 16 06:49:20 UTC 2025","skipped","Tue Sep 16 06:49:20 UTC 2025","tests.LocatorsTest","Surefire test","tests.LocatorsTest","checkLocators"
"","1","Настройка браузера","Surefire suite","Tue Sep 16 06:49:20 UTC 2025","broken","Tue Sep 16 06:49:20 UTC 2025","tests.LocatorsTest","Surefire test","tests.LocatorsTest","setup"
"Проверка логина с негативными данными","0","Проверка логина с негативными данными","Surefire suite","Tue Sep 16 06:49:20 UTC 2025","skipped","Tue Sep 16 06:49:20 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","paramNegativeTest"
"Проверка логина с негативными данными","0","Проверка логина с негативными данными","Surefire suite","Tue Sep 16 06:49:20 UTC 2025","skipped","Tue Sep 16 06:49:20 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","paramNegativeTest"
"","1","Настройка браузера","Surefire suite","Tue Sep 16 06:49:21 UTC 2025","broken","Tue Sep 16 06:49:21 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","setup"
