"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка входа в магазин с позитивными данными","0","Проверка входа в магазин с позитивными данными","Surefire suite","Tue Sep 16 08:56:44 UTC 2025","skipped","Tue Sep 16 08:56:44 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkPositiveLogin"
"","1","checkLocators","Surefire suite","Tue Sep 16 08:56:43 UTC 2025","skipped","Tue Sep 16 08:56:43 UTC 2025","tests.LocatorsTest","Surefire test","tests.LocatorsTest","checkLocators"
"Проверка логина с негативными данными","0","Проверка логина с негативными данными","Surefire suite","Tue Sep 16 08:56:43 UTC 2025","skipped","Tue Sep 16 08:56:43 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","paramNegativeTest"
"","1","Настройка браузера","Surefire suite","Tue Sep 16 08:56:44 UTC 2025","broken","Tue Sep 16 08:56:44 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","setup"
"Проверка логина с негативными данными","0","Проверка логина с негативными данными","Surefire suite","Tue Sep 16 08:56:43 UTC 2025","skipped","Tue Sep 16 08:56:43 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","paramNegativeTest"
"","1","checkLoginWithEmptyPassword","Surefire suite","Tue Sep 16 08:56:32 UTC 2025","unknown","Tue Sep 16 08:56:32 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithEmptyPassword"
"Проверка логина с негативными данными","0","Проверка логина с негативными данными","Surefire suite","Tue Sep 16 08:56:44 UTC 2025","skipped","Tue Sep 16 08:56:44 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","paramNegativeTest"
"Проверка входа в магазин с пустым логином","0","Проверка входа в магазин с пустым логином","Surefire suite","Tue Sep 16 08:56:44 UTC 2025","skipped","Tue Sep 16 08:56:44 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithEmptyLogin"
"","0","Настройка браузера","Surefire suite","Tue Sep 16 08:56:43 UTC 2025","broken","Tue Sep 16 08:56:43 UTC 2025","tests.LocatorsTest","Surefire test","tests.LocatorsTest","setup"
