"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка входа в магазин с позитивными данными","577","Проверка входа в магазин с позитивными данными","Surefire suite","Fri Sep 19 10:13:47 UTC 2025","passed","Fri Sep 19 10:13:48 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkPositiveLogin"
"Проверка логина с негативными данными","474","Проверка логина с негативными данными","Surefire suite","Fri Sep 19 10:13:45 UTC 2025","passed","Fri Sep 19 10:13:46 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","paramNegativeTest"
"Проверка логина с негативными данными","509","Проверка логина с негативными данными","Surefire suite","Fri Sep 19 10:13:46 UTC 2025","passed","Fri Sep 19 10:13:47 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","paramNegativeTest"
"","530","checkLoginWithEmptyPassword","Surefire suite","Fri Sep 19 10:13:43 UTC 2025","passed","Fri Sep 19 10:13:44 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithEmptyPassword"
"Проверка логина с негативными данными","596","Проверка логина с негативными данными","Surefire suite","Fri Sep 19 10:13:44 UTC 2025","passed","Fri Sep 19 10:13:45 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","paramNegativeTest"
"Проверка входа в магазин с пустым логином","518","Проверка входа в магазин с пустым логином","Surefire suite","Fri Sep 19 10:13:48 UTC 2025","passed","Fri Sep 19 10:13:49 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithEmptyLogin"
"","1578","checkLocators","Surefire suite","Fri Sep 19 10:13:41 UTC 2025","passed","Fri Sep 19 10:13:43 UTC 2025","tests.LocatorsTest","Surefire test","tests.LocatorsTest","checkLocators"
