"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","checkLoginWithEmptyPassword","Smoke Test SauceDemo","Thu Sep 04 16:51:46 UTC 2025","unknown","Thu Sep 04 16:51:46 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyPassword"
"Проверка входа в магазин с позитивными данными","1874","Проверка входа в магазин с позитивными данными","Smoke Test SauceDemo","Thu Sep 04 16:52:05 UTC 2025","passed","Thu Sep 04 16:52:07 UTC 2025","tests.LoginTest","EdgeDriver","tests.LoginTest","checkPositiveLogin"
"","1924","checkCart","Smoke Test SauceDemo","Thu Sep 04 16:51:50 UTC 2025","passed","Thu Sep 04 16:51:51 UTC 2025","tests.CartTestNew","Chrome","tests.CartTestNew","checkCart"
"Проверка входа в магазин с позитивными данными","532","Проверка входа в магазин с позитивными данными","Smoke Test SauceDemo","Thu Sep 04 16:51:55 UTC 2025","passed","Thu Sep 04 16:51:56 UTC 2025","tests.LoginTest","Chrome","tests.LoginTest","checkPositiveLogin"
"","812","checkClickCheckout","Smoke Test SauceDemo","Thu Sep 04 16:51:52 UTC 2025","passed","Thu Sep 04 16:51:53 UTC 2025","tests.CartTestNew","Chrome","tests.CartTestNew","checkClickCheckout"
"","789","checkLocators","Smoke Test SauceDemo","Thu Sep 04 16:51:54 UTC 2025","passed","Thu Sep 04 16:51:55 UTC 2025","tests.LocatorsTest","Chrome","tests.LocatorsTest","checkLocators"
"","749","checkClickRemove","Smoke Test SauceDemo","Thu Sep 04 16:51:53 UTC 2025","passed","Thu Sep 04 16:51:54 UTC 2025","tests.CartTestNew","Chrome","tests.CartTestNew","checkClickRemove"
"","2","checkLoginWithEmptyPassword","Smoke Test SauceDemo","Thu Sep 04 16:51:46 UTC 2025","unknown","Thu Sep 04 16:51:46 UTC 2025","tests.LoginTest","EdgeDriver","tests.LoginTest","checkLoginWithEmptyPassword"
