"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка логина с негативными данными","557","Проверка логина с негативными данными","Surefire suite","Tue Sep 16 09:47:51 UTC 2025","passed","Tue Sep 16 09:47:52 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","paramNegativeTest"
"Проверка входа в магазин с пустым логином","534","Проверка входа в магазин с пустым логином","Surefire suite","Tue Sep 16 09:47:55 UTC 2025","passed","Tue Sep 16 09:47:56 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithEmptyLogin"
"Проверка логина с негативными данными","546","Проверка логина с негативными данными","Surefire suite","Tue Sep 16 09:47:52 UTC 2025","passed","Tue Sep 16 09:47:53 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","paramNegativeTest"
"","631","checkLoginWithEmptyPassword","Surefire suite","Tue Sep 16 09:47:50 UTC 2025","passed","Tue Sep 16 09:47:51 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithEmptyPassword"
"Проверка входа в магазин с позитивными данными","595","Проверка входа в магазин с позитивными данными","Surefire suite","Tue Sep 16 09:47:54 UTC 2025","passed","Tue Sep 16 09:47:55 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkPositiveLogin"
"","1859","checkLocators","Surefire suite","Tue Sep 16 09:47:48 UTC 2025","passed","Tue Sep 16 09:47:50 UTC 2025","tests.LocatorsTest","Surefire test","tests.LocatorsTest","checkLocators"
"Проверка логина с негативными данными","543","Проверка логина с негативными данными","Surefire suite","Tue Sep 16 09:47:53 UTC 2025","passed","Tue Sep 16 09:47:54 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","paramNegativeTest"
