"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","522","checkLoginWithEmptyPassword","Surefire suite","Fri Oct 03 10:12:38 UTC 2025","passed","Fri Oct 03 10:12:39 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithEmptyPassword"
"Проверка входа в магазин с пустым логином","491","Проверка входа в магазин с пустым логином","Surefire suite","Fri Oct 03 10:12:43 UTC 2025","passed","Fri Oct 03 10:12:43 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithEmptyLogin"
"Проверка входа в магазин с позитивными данными","553","Проверка входа в магазин с позитивными данными","Surefire suite","Fri Oct 03 10:12:42 UTC 2025","passed","Fri Oct 03 10:12:42 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkPositiveLogin"
"Проверка логина с негативными данными","525","Проверка логина с негативными данными","Surefire suite","Fri Oct 03 10:12:39 UTC 2025","passed","Fri Oct 03 10:12:40 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","paramNegativeTest"
"","1754","checkLocators","Surefire suite","Fri Oct 03 10:12:36 UTC 2025","passed","Fri Oct 03 10:12:38 UTC 2025","tests.LocatorsTest","Surefire test","tests.LocatorsTest","checkLocators"
"Проверка логина с негативными данными","545","Проверка логина с негативными данными","Surefire suite","Fri Oct 03 10:12:41 UTC 2025","passed","Fri Oct 03 10:12:41 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","paramNegativeTest"
"Проверка логина с негативными данными","485","Проверка логина с негативными данными","Surefire suite","Fri Oct 03 10:12:40 UTC 2025","passed","Fri Oct 03 10:12:40 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","paramNegativeTest"
