"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка логина с негативными данными","575","Проверка логина с негативными данными","Surefire suite","Fri Sep 26 10:13:03 UTC 2025","passed","Fri Sep 26 10:13:03 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","paramNegativeTest"
"","2649","checkLocators","Surefire suite","Fri Sep 26 10:12:58 UTC 2025","passed","Fri Sep 26 10:13:00 UTC 2025","tests.LocatorsTest","Surefire test","tests.LocatorsTest","checkLocators"
"Проверка входа в магазин с позитивными данными","583","Проверка входа в магазин с позитивными данными","Surefire suite","Fri Sep 26 10:13:05 UTC 2025","passed","Fri Sep 26 10:13:05 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkPositiveLogin"
"Проверка логина с негативными данными","597","Проверка логина с негативными данными","Surefire suite","Fri Sep 26 10:13:02 UTC 2025","passed","Fri Sep 26 10:13:02 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","paramNegativeTest"
"Проверка логина с негативными данными","520","Проверка логина с негативными данными","Surefire suite","Fri Sep 26 10:13:04 UTC 2025","passed","Fri Sep 26 10:13:04 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","paramNegativeTest"
"Проверка входа в магазин с пустым логином","518","Проверка входа в магазин с пустым логином","Surefire suite","Fri Sep 26 10:13:06 UTC 2025","passed","Fri Sep 26 10:13:06 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithEmptyLogin"
"","633","checkLoginWithEmptyPassword","Surefire suite","Fri Sep 26 10:13:01 UTC 2025","passed","Fri Sep 26 10:13:01 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithEmptyPassword"
